price,crime_rate,resid_area,air_qual,room_num,age,dist1,dist2,dist3,dist4,teachers,poor_prop,airport,n_hos_beds,n_hot_rooms,waterbody,rainfall,bus_ter,parks
40.9,1.80618,36.17,0.8106,6.648,16.3,9.64,9.38,9.49,9.350000000000001,22.2,7.32,NO,8.922,10.7301,Lake,43,YES,0.055809
37.6,3.09492,33.64,0.4008,6.203,32.4,8.13,8.280000000000001,8.040000000000001,8.0,22.6,23.66,NO,7.9928,14.6903,Lake and River,33,YES,0.056266
44.0,2.24219,48.45,0.7182,6.753,42.8,6.43,6.43,5.9799999999999995,6.2299999999999995,24.2,34.05,YES,7.0707,14.5882,Lake and River,24,YES,0.048622
43.5,3.94571,53.24,0.4256,7.366,92.4,5.44,5.130000000000001,5.510000000000001,5.090000000000001,22.1,20.55,NO,9.7897,14.4373,None,37,YES,0.075728
41.8,0.25546,49.32,0.5288,6.136,99.4,1.36,1.4600000000000002,1.31,1.3800000000000001,22.4,25.59,YES,7.7056,13.1272,Lake and River,38,YES,0.086171
40.5,0.18675,45.91,0.4298,6.136,9.3,9.86,10.03,10.049999999999999,10.219999999999999,19.1,4.26,YES,8.0254,14.0413,Lake and River,31,YES,0.086445
46.1,0.85148,31.26,0.7019,7.405,77.3,4.45,4.33,4.23,4.98,21.3,15.78,NO,6.1024,10.3452,Lake,37,YES,0.040487
40.6,0.52143,59.05,0.7433,6.837,40.3,2.37,2.6,2.25,2.39,23.0,5.84,YES,8.1283,11.6739,Lake and River,36,YES,0.082485
37.5,6.16211,53.96,0.4572,5.971,42.3,7.0,6.67,6.7,7.22,19.9,22.22,NO,7.858,11.5685,Lake,49,YES,0.074246
46.4,0.74236,38.78,0.5919,6.68,76.7,3.56,3.2600000000000002,3.36,3.61,19.4,32.97,YES,5.9242,13.1782,Lake and River,43,YES,0.04517
41.9,11.17231,59.4,0.6281,5.976,92.3,6.27,6.3,6.029999999999999,6.369999999999999,20.2,23.84,YES,5.2979,11.7798,Lake and River,30,YES,0.034037
316.0,1.23247,48.06,0.5845,5.974,95.3,6.28,6.29,6.48,6.21,19.7,4.53,NO,8.0218,10.7425,River,54,YES,0.04608
42.7,0.60311,47.47,0.4605,6.469,59.8,5.01,4.87,4.87,5.05,19.5,13.7,NO,8.8185,12.9823,Lake and River,42,YES,0.084732
37.8,4.67764,52.44,0.6095,4.961,38.9,8.53,8.69,8.549999999999999,8.639999999999999,21.0,20.17,YES,7.617,14.0719,Lake,36,YES,0.067991
28.8,3.22505,54.35,0.7756,5.093,79.8,3.38,3.4899999999999998,3.3,3.26,24.4,15.31,YES,6.1339,11.9106,Lake,20,YES,0.073263
41.7,2.06864,49.69,0.4355,5.906,28.8,5.04,5.21,4.79,5.0200000000000005,21.5,29.51,NO,8.3326,10.6613,None,34,YES,0.045429
35.3,2.43149,33.84,0.4401,5.591,58.6,5.84,5.82,5.81,5.83,19.3,28.88,YES,5.4005,10.9834,None,51,YES,0.073163
44.9,3.81036,40.15,0.5774,6.52,39.1,6.97,7.09,7.09,7.14,18.5,22.19,NO,7.2092,11.1874,River,28,YES,0.031687
35.3,0.77808,57.84,0.8709,5.664,67.4,8.06,7.970000000000001,7.82,7.8500000000000005,22.9,14.32,NO,5.8168,11.4995,Lake,34,YES,0.052519
29.3,16.82589,36.74,0.7343,5.311,27.8,4.55,4.96,4.71,4.54,20.7,10.43,NO,5.9223,13.214,Lake,47,YES,0.067605
40.1,11.04192,41.17,0.7393,7.326,23.2,6.81,6.6499999999999995,6.64,7.1899999999999995,23.8,5.49,NO,6.0115,13.0047,Lake,43,YES,0.038766
